"TEAM","CITY-State","CITY","STATE","STADIUM","CAPACITY","LEAGUE","LEAGUE TYPE"
"Buffalo Bisons ","Buffalo, New York ","Buffalo ","New York ","Coca-Cola Field ",18025,"International League","Triple-A"
"Charlotte Knights ","Charlotte, North Carolina ","Charlotte ","North Carolina ","BB&T Ballpark ",10000,"International League","Triple-A"
"Columbus Clippers ","Columbus, Ohio ","Columbus ","Ohio ","Huntington Park ",10100,"International League","Triple-A"
"Durham Bulls ","Durham, North Carolina ","Durham ","North Carolina ","Durham Bulls Athletic Park ",10000,"International League","Triple-A"
"Gwinnett Braves ","Lawrenceville, Georgia ","Lawrenceville ","Georgia ","Coolray Field ",10475,"International League","Triple-A"
"Indianapolis Indians ","Indianapolis, Indiana ","Indianapolis ","Indiana ","Victory Field ",14500,"International League","Triple-A"
"Lehigh Valley IronPigs ","Allentown, Pennsylvania ","Allentown ","Pennsylvania ","Coca-Cola Park ",10100,"International League","Triple-A"
"Louisville Bats ","Louisville, Kentucky ","Louisville ","Kentucky ","Louisville Slugger Field ",13131,"International League","Triple-A"
"Norfolk Tides ","Norfolk, Virginia ","Norfolk ","Virginia ","Harbor Park ",12067,"International League","Triple-A"
"Pawtucket Red Sox ","Pawtucket, Rhode Island ","Pawtucket ","Rhode Island ","McCoy Stadium ",10031,"International League","Triple-A"
"Rochester Red Wings ","Rochester, New York ","Rochester ","New York ","Frontier Field ",10840,"International League","Triple-A"
"Scranton/Wilkes-Barre RailRiders ","Moosic, Pennsylvania ","Moosic ","Pennsylvania ","PNC Field ",10310,"International League","Triple-A"
"Syracuse Chiefs ","Syracuse, New York ","Syracuse ","New York ","NBT Bank Stadium ",11071,"International League","Triple-A"
"Toledo Mud Hens ","Toledo, Ohio ","Toledo ","Ohio ","Fifth Third Field ",10300,"International League","Triple-A"
"Albuquerque Isotopes","Albuquerque, New Mexico","Albuquerque","New Mexico","Isotopes Park",13279,"Pacific Coast League","Triple-A"
"Colorado Springs Sky Sox","Colorado Springs, Colorado","Colorado Springs","Colorado","Security Service Field",8500,"Pacific Coast League","Triple-A"
"El Paso Chihuahuas","El Paso, Texas","El Paso","Texas","Southwest University Park",9500,"Pacific Coast League","Triple-A"
"Fresno Grizzlies","Fresno, California","Fresno","California","Chukchansi Park",12500,"Pacific Coast League","Triple-A"
"Iowa Cubs","Des Moines, Iowa","Des Moines","Iowa","Principal Park",11500,"Pacific Coast League","Triple-A"
"Las Vegas 51s","Las Vegas, Nevada","Las Vegas","Nevada","Cashman Field",9334,"Pacific Coast League","Triple-A"
"Memphis Redbirds","Memphis, Tennessee","Memphis","Tennessee","AutoZone Park",14384,"Pacific Coast League","Triple-A"
"Nashville Sounds","Nashville, Tennessee","Nashville","Tennessee","First Tennessee Park",8500,"Pacific Coast League","Triple-A"
"New Orleans Zephyrs","Metairie, Louisiana","Metairie","Louisiana","Zephyr Field",10000,"Pacific Coast League","Triple-A"
"Oklahoma City Dodgers","Oklahoma City, Oklahoma","Oklahoma City","Oklahoma","Chickasaw Bricktown Ballpark",13066,"Pacific Coast League","Triple-A"
"Omaha Storm Chasers","Papillion, Nebraska","Papillion","Nebraska","Werner Park",9023,"Pacific Coast League","Triple-A"
"Reno Aces","Reno, Nevada","Reno","Nevada","Greater Nevada Field",9100,"Pacific Coast League","Triple-A"
"Round Rock Express","Round Rock, Texas","Round Rock","Texas","Dell Diamond",11000,"Pacific Coast League","Triple-A"
"Sacramento River Cats","West Sacramento, California","West Sacramento","California","Raley Field",14014,"Pacific Coast League","Triple-A"
"Salt Lake Bees","Salt Lake City, Utah","Salt Lake City","Utah","Smith's Ballpark",15411,"Pacific Coast League","Triple-A"
"Tacoma Rainiers","Tacoma, Washington","Tacoma","Washington","Cheney Stadium",9600,"Pacific Coast League","Triple-A"
"Akron RubberDucks","Akron, Ohio","Akron","Ohio","Canal Park",9097,"Eastern League","AA"
"Altoona Curve","Altoona, Pennsylvania","Altoona","Pennsylvania","Peoples Natural Gas Field",7210,"Eastern League","AA"
"Binghamton Rumble Ponies","Binghamton, New York","Binghamton","New York","NYSEG Stadium",6012,"Eastern League","AA"
"Bowie Baysox","Bowie, Maryland","Bowie","Maryland","Prince George's Stadium",10000,"Eastern League","AA"
"Erie SeaWolves","Erie, Pennsylvania","Erie","Pennsylvania","UPMC Park",6952,"Eastern League","AA"
